pen	900	9	7700
bread	2000	8	16000
bread	2000	2	4000
coffee	1500	7	10500
juice	1400	2	3100
bread	2150	3	6200
coffee	1500	10	15000
bread	2000	9	18000
juice	1300	10	13000
pen	1000	1	1400
pen	800	3	2400
coffee	1500	4	6000
bread	2000	6	12000
juice	1300	10	13000
pen	800	10	8000
coffee	1700	6	9400
pen	800	9	7200
coffee	1350	2	2400
coffee	1500	4	6000
coffee	1500	4	6000
coffee	1500	1	1500
pen	800	9	6600
pen	800	5	4000
bread	2000	10	20000
pen	800	6	4800
juice	1300	3	3900
juice	1200	1	1500
bread	2000	3	6200
coffee	1500	4	6000
juice	1300	3	3900
bread	2050	7	13600
juice	1300	4	5200
juice	1300	5	6500
coffee	1500	8	12000
coffee	1500	6	9000
bread	2000	5	10000
juice	1350	10	12400
coffee	1500	10	15000
juice	1300	1	1300
pen	950	5	4400
coffee	1300	10	15300
pen	800	1	800
coffee	1300	4	6200
coffee	1600	4	6400
juice	1300	1	1300
juice	1300	6	7800
juice	1300	10	13000
coffee	1500	3	4500
juice	1300	8	10400
bread	2000	1	2000
juice	1300	7	9100
pen	800	8	6400
pen	800	8	6400
pen	800	5	4000
bread	2000	2	3600
juice	1300	9	11700
pen	800	3	2400
juice	1300	7	9100
bread	2000	6	12000
pen	800	5	4000
pen	800	9	7200
pen	800	7	5600
pen	800	2	1600
pen	800	7	5600
pen	800	7	5600
coffee	1500	5	7500
pen	750	3	2800
bread	2050	6	12400
pen	800	1	800
bread	2000	2	4000
coffee	1500	5	7500
juice	1300	7	9100
coffee	1350	8	12200
pen	800	3	2400
coffee	1500	6	9000
pen	800	7	5600
bread	2000	8	16000
juice	1300	9	11700
bread	2000	2	4000
juice	1300	4	5200
coffee	1500	7	10500
coffee	1500	3	4500
bread	2000	6	12000
coffee	1500	8	12000
juice	1500	10	13600
coffee	1500	2	3000
pen	800	7	5600
bread	2000	7	14000
pen	600	4	3400
juice	1300	9	11700
pen	800	7	5600
coffee	1500	2	3000
bread	2000	10	20000
bread	2000	7	14000
juice	1300	4	5200
coffee	1500	1	1500
coffee	1300	3	4700
bread	2000	4	8000
bread	2000	7	14000
juice	1300	6	7800
coffee	1500	5	7500
bread	2000	9	18000
bread	2000	10	20000
pen	800	5	4000
bread	2000	2	4000
coffee	1500	9	13500
bread	2000	9	18000
juice	1300	4	5200
bread	1850	9	18000
bread	2000	4	8000
pen	800	7	5600
bread	2000	8	16000
pen	800	7	5600
coffee	1500	2	3000
pen	800	6	4800
juice	1300	7	9100
bread	2000	7	14000
pen	800	3	2400
juice	1300	6	7800
coffee	1500	3	4500
coffee	1500	3	4500
bread	2050	2	4300
bread	2000	2	4000
pen	800	3	2400
bread	2000	1	2000
juice	1350	3	3500
pen	900	8	6600
coffee	1500	9	13500
juice	1300	9	11700
pen	900	6	5400
pen	700	5	4000
bread	1950	7	13400
coffee	1500	6	9000
juice	1300	8	10400
juice	1100	6	7900
bread	1900	4	8000
